"id","score","title","summary","venue","year","authors","citationCount","referenceCount","influentialCitationCount","url"
"4c430e6c3a72626bd4cb1893960c7c26dfec6c79",5,"Structurally Diverse Sampling Reduces Spurious Correlations in Semantic Parsing Datasets","This work proposes a novel algorithm for sampling a structurally diverse set of instances from a labeled instance pool with structured outputs that leads to better generalization and uses information theory to show that reduction in spurious correlations between substructures may be one reason why diverse training sets improve generalization.","ArXiv",2022,"Shivanshu Gupta,Sameer Singh,Matt Gardner",2,44,0,"https://www.semanticscholar.org/paper/4c430e6c3a72626bd4cb1893960c7c26dfec6c79"
"1bd799cf462f926041dd2fc8fbe4af54bddbf5c5",5,"Translate First Reorder Later: Leveraging Monotonicity in Semantic Parsing","By means of the monotonic translations, TP OL can learn reliable lexico-logical patterns from aligned data, improving compositional generalization both over conventional seq2seq models, as well as over a recently proposed approach that exploits gold alignments.","ArXiv",2022,"Francesco Cazzaro,Davide Locatelli,A. Quattoni,X. Carreras",0,43,0,"https://www.semanticscholar.org/paper/1bd799cf462f926041dd2fc8fbe4af54bddbf5c5"
"fcf25e1affc2f8ee5bb49d156f174e9769234deb",5,"Systematic Generalization with Edge Transformers","The Edge Transformer is a new model that combines inspiration from Transformers and rulebased symbolic AI that outperforms Relation-aware, Universal and classical Transformer baselines on compositional generalization benchmarks in relational reasoning, semantic parsing, and dependency parsing.","NeurIPS",2021,"Leon Bergen,T. O’Donnell,Dzmitry Bahdanau",3,46,0,"https://www.semanticscholar.org/paper/fcf25e1affc2f8ee5bb49d156f174e9769234deb"
"b7b97fff93bcd32aa2d1c9bc1acc3827bb3d4347",4,"Sequence-to-Sequence Learning with Latent Neural Grammars","This work develops a neural parameterization of the grammar which enables parameter sharing over the combinatorial space of derivation rules without the need for manual feature engineering, and applies it to a diagnostic language navigation task and to small-scale machine translation.","NeurIPS",2021,"Yoon Kim",11,150,3,"https://www.semanticscholar.org/paper/b7b97fff93bcd32aa2d1c9bc1acc3827bb3d4347"
"b1f33e956e36bf25e118c0d537dcc519cfe52e60",4,"CTL++: Evaluating Generalization on Never-Seen Compositional Patterns of Known Functions, and Compatibility of Neural Representations","CTL++ is introduced, a new diagnostic dataset based on compositions of unary symbolic functions designed to test systematicity of NNs, that is, their capability to generalize to unseen compositions of known functions.","ArXiv",2022,"R'obert Csord'as,Kazuki Irie,J. Schmidhuber",0,25,0,"https://www.semanticscholar.org/paper/b1f33e956e36bf25e118c0d537dcc519cfe52e60"
"676fa805bd715591f99bb17e36d673a6a14e92fe",4,"Finding needles in a haystack: Sampling Structurally-diverse Training Sets from Synthetic Data for Compositional Generalization","This work investigates automatic generation of synthetic utterance-program pairs for improving compositional generalization in semantic parsing and selects a subset of synthetic examples that are structurally-diverse and uses them to improve compositionalgeneralization.","EMNLP",2021,"I. Oren,Jonathan Herzig,Jonathan Berant",10,47,3,"https://www.semanticscholar.org/paper/676fa805bd715591f99bb17e36d673a6a14e92fe"
"c735740b26ceaa4db9d77233116434c0e8b311d8",4,"Learning Adaptive Control Flow in Transformers for Improved Systematic Generalization","The novel Neural Data Router (NDR) achieves 100% length generalization accuracy on the compositional table lookup task, and its attention and gating patterns tend to be interpretable as an intuitive form of neural routing.","",2021,"R. Csordás,Kazuki Irie,J. Schmidhuber",0,36,0,"https://www.semanticscholar.org/paper/c735740b26ceaa4db9d77233116434c0e8b311d8"
"61d56ece2d19f4bfeb322c92085fb28521e169da",4,"Neural-Symbolic Recursive Machine for Systematic Generalization","The proposed Neural-Symbolic Recursive Machine (NSR) demonstrates stronger generalization than pure neural networks due to its symbolic representation and inductive biases, and demonstrates better transferability than existing neural-symbolic approaches due to less domain-speciﬁc knowledge required.","ArXiv",2022,"Qing Li,Yixin Zhu,Yitao Liang,Y. Wu,Song-Chun Zhu,Siyuan Huang",0,48,0,"https://www.semanticscholar.org/paper/61d56ece2d19f4bfeb322c92085fb28521e169da"
"b49ebf36a29cf9734313066129ab0d7092d4041e",4,"Categorizing Semantic Representations for Neural Machine Translation","The main idea is to enhance generalization by reducing sparsity and overfitting, which is achieved by finding prototypes of token representations over the training set and integrating their embeddings into the source encoding.","COLING",2022,"Yongjing Yin,Yafu Li,Fandong Meng,Jie Zhou,Yue Zhang",0,56,0,"https://www.semanticscholar.org/paper/b49ebf36a29cf9734313066129ab0d7092d4041e"
"da09949d0c89aca711de0f00e84138c62df623e1",3,"FROM SCAN TO REAL DATA: SYSTEMATIC GENER-","This paper revisits systematic generalization from the perspective of meaningful learning, an exceptional capability of humans to learn new concepts by connecting them with other previously known knowledge, and proposes to augment a training dataset in either an inductive or deductive manner to build semantic links between new and old concepts.","",2021,"Ning Shi,Boxin Wang,Wei Wang,Xiangyu Liu,Rong Zhang,Hui Xue,Xinbing Wang,Zhouhan Lin",1,49,0,"https://www.semanticscholar.org/paper/da09949d0c89aca711de0f00e84138c62df623e1"
"a406701b5fb05be55244d4f940db7be55fce85c6",3,"Semantic Systematicity in Connectionist Language Production","A novel connectionist model of sentence production that employs rich situation model representations originally proposed for modeling systematicity in comprehension, which provides a sufficient structure from which the neural network can interpret novel inputs.","Inf.",2021,"Jesús Calvillo,Harm Brouwer,M. Crocker",0,59,0,"https://www.semanticscholar.org/paper/a406701b5fb05be55244d4f940db7be55fce85c6"
"eaa88d697f92739f3569564329e9d037aabbe2d7",3,"A Minimalist Dataset for Systematic Generalization of Perception, Syntax, and Semantics","Models show a gap toward human-level generalization when tested with new concepts in a few-shot setting, and the results suggest that current models still struggle in extrapolation to long-range syntactic dependency and semantics.","",2021,"Qing Li,Siyuan Huang,Yining Hong,Yixin Zhu,Y. Wu,Song-Chun Zhu",1,105,1,"https://www.semanticscholar.org/paper/eaa88d697f92739f3569564329e9d037aabbe2d7"
"d129841cb2e30e25000dcd9edb83c880fc4babc1",3,"Systematicity Emerges in Transformers when Abstract Grammatical Roles Guide Attention","This work develops a novel modification to the transformer by implementing two separate input streams: a role stream controls the attention distributions at each layer, and a filler stream determines the values.","NAACL",2022,"Ayush K Chakravarthy,Jacob Russin,R. O’Reilly",0,35,0,"https://www.semanticscholar.org/paper/d129841cb2e30e25000dcd9edb83c880fc4babc1"
"69df5b68fbf492341336b39b4cc9fcc74fff4d5f",3,"Improving Systematic Generalization Through Modularity and Augmentation","This work investigates how two well-known modeling principles— modularity and data augmentation—affect systematic generalization of neural networks in grounded language learning and analyzes how large the vocabulary needs to be to achieve system- atic generalization and how similar the augmented data needs toBe to the problem at hand.","ArXiv",2022,"Laura Ruis,B. Lake",1,55,0,"https://www.semanticscholar.org/paper/69df5b68fbf492341336b39b4cc9fcc74fff4d5f"
"66f3f0e8ebc780e570770986f50bf9cb9cd53ec1",3,"WOODS: Benchmarks for Out-of-Distribution Generalization in Time Series Tasks","WOODS: eight challenging open-source time series benchmarks covering a diverse range of data modalities, such as videos, brain recordings, and sensor signals is presented, underscoring the new challenges posed by time series tasks.","ArXiv",2022,"Jean-Christophe Gagnon-Audet,Kartik Ahuja,Mohammad Javad Darvishi Bayazi,G. Dumas,I. Rish",2,128,1,"https://www.semanticscholar.org/paper/66f3f0e8ebc780e570770986f50bf9cb9cd53ec1"
"bc16284f517dd0011dcf64ea1c8fe6d6576494a4",3,"Is the Computation of Abstract Sameness Relations Human-Like in Neural Language Models?","This work explores one facet of the question whether state-of-the-art NLP models exhibit elementary mechanisms known from human cognition by de-signed experimental settings in which each element from the original studies was mapped to a component of language models.","ArXiv",2022,"Lukas Thoma,Benjamin Roth",0,58,0,"https://www.semanticscholar.org/paper/bc16284f517dd0011dcf64ea1c8fe6d6576494a4"
"01b2f7601ab3df0d2982a204e2fb309f6622646f",3,"Induced Natural Language Rationales and Interleaved Markup Tokens Enable Extrapolation in Large Language Models","It is demonstrated that large language models can succeed in extrapolation without modifying their architecture or training procedure, and a limitation of current architectures to effectively generalize without explicit surface form guidance is highlighted.","ArXiv",2022,"M. Bueno,Carlos Gemmel,Jeffrey Stephen Dalton,R. Lotufo,Rodrigo Nogueira",0,63,0,"https://www.semanticscholar.org/paper/01b2f7601ab3df0d2982a204e2fb309f6622646f"
"1ed29beb55b10de8553c926ce6da2625ec2c8776",3,"Benchmarking Long-tail Generalization with Likelihood Splits","This work proposes a method to create challenging benchmarks that require generalizing to the tail of the distribution by re-splitting existing datasets by creating ‘Likeli-hood splits’ where examples that are assigned lower likelihood by a pre-trained language model are placed in the test set, and more likely examples are in the training set.","ArXiv",2022,"Ameya Godbole,Robin Jia",0,56,0,"https://www.semanticscholar.org/paper/1ed29beb55b10de8553c926ce6da2625ec2c8776"
"c6e4518dfd687a2a5bed4e78d5d9f999292a1746",3,"Counterfactual Recipe Generation: Exploring Compositional Generalization in a Realistic Scenario","This paper investigates whether pretrained language models can perform compositional generalization in a realistic setting: recipe generation, and designs the counterfactual recipe generation task, which asks models to modify a base recipe according to the change of an ingredient.","ArXiv",2022,"Xiao Liu,Yansong Feng,Jizhi Tang,Chengang Hu,Dongyan Zhao",0,35,0,"https://www.semanticscholar.org/paper/c6e4518dfd687a2a5bed4e78d5d9f999292a1746"
"1167b3864046b732cf057b8b05db311e726cadab",3,"Measuring Alignment Bias in Neural Seq2seq Semantic Parsers","This work augments the popular Geo semantic parsing dataset with alignment annotations and creates Geo-Aligned, and studies the performance of standard seq2seq models on the examples that can be aligned monotonically versus examples that require more complex alignments.","STARSEM",2022,"Davide Locatelli,A. Quattoni",1,39,0,"https://www.semanticscholar.org/paper/1167b3864046b732cf057b8b05db311e726cadab"
